2024-03-25 00:10,01F0005N,N,31,25
2024-03-25 00:10,01F0005N,N,32,7
2024-03-25 00:10,01F0005N,N,41,2
2024-03-25 00:10,01F0005N,N,42,0
2024-03-25 00:10,01F0005N,N,5,0
2024-03-25 00:10,01F0005S,S,31,37
2024-03-25 00:10,01F0005S,S,32,7
2024-03-25 00:10,01F0005S,S,41,0
2024-03-25 00:10,01F0005S,S,42,0
2024-03-25 00:10,01F0005S,S,5,0
2024-03-25 00:10,01F0017N,N,31,27
2024-03-25 00:10,01F0017N,N,32,7
2024-03-25 00:10,01F0017N,N,41,2
2024-03-25 00:10,01F0017N,N,42,0
2024-03-25 00:10,01F0017N,N,5,0
2024-03-25 00:10,01F0017S,S,31,25
2024-03-25 00:10,01F0017S,S,32,3
2024-03-25 00:10,01F0017S,S,41,0
2024-03-25 00:10,01F0017S,S,42,0
2024-03-25 00:10,01F0017S,S,5,1
2024-03-25 00:10,01F0029N,N,31,45
2024-03-25 00:10,01F0029N,N,32,3
2024-03-25 00:10,01F0029N,N,41,0
2024-03-25 00:10,01F0029N,N,42,1
2024-03-25 00:10,01F0029N,N,5,0
2024-03-25 00:10,01F0029S,S,31,29
2024-03-25 00:10,01F0029S,S,32,7
2024-03-25 00:10,01F0029S,S,41,0
2024-03-25 00:10,01F0029S,S,42,3
2024-03-25 00:10,01F0029S,S,5,0
2024-03-25 00:10,01F0061N,N,31,39
2024-03-25 00:10,01F0061N,N,32,12
2024-03-25 00:10,01F0061N,N,41,0
2024-03-25 00:10,01F0061N,N,42,6
2024-03-25 00:10,01F0061N,N,5,1
2024-03-25 00:10,01F0061S,S,31,37
2024-03-25 00:10,01F0061S,S,32,15
2024-03-25 00:10,01F0061S,S,41,0
2024-03-25 00:10,01F0061S,S,42,2
2024-03-25 00:10,01F0061S,S,5,2
2024-03-25 00:10,01F0099N,N,31,59
2024-03-25 00:10,01F0099N,N,32,14
2024-03-25 00:10,01F0099N,N,41,1
2024-03-25 00:10,01F0099N,N,42,3
2024-03-25 00:10,01F0099N,N,5,5
2024-03-25 00:10,01F0099S,S,31,38
2024-03-25 00:10,01F0099S,S,32,15
2024-03-25 00:10,01F0099S,S,41,0
2024-03-25 00:10,01F0099S,S,42,4
2024-03-25 00:10,01F0099S,S,5,1
2024-03-25 00:10,01F0147N,N,31,55
2024-03-25 00:10,01F0147N,N,32,6
2024-03-25 00:10,01F0147N,N,41,1
2024-03-25 00:10,01F0147N,N,42,3
2024-03-25 00:10,01F0147N,N,5,1
2024-03-25 00:10,01F0147S,S,31,31
2024-03-25 00:10,01F0147S,S,32,4
2024-03-25 00:10,01F0147S,S,41,0
2024-03-25 00:10,01F0147S,S,42,3
2024-03-25 00:10,01F0147S,S,5,1
2024-03-25 00:10,01F0155N,N,31,81
2024-03-25 00:10,01F0155N,N,32,12
2024-03-25 00:10,01F0155N,N,41,0
2024-03-25 00:10,01F0155N,N,42,4
2024-03-25 00:10,01F0155N,N,5,1
2024-03-25 00:10,01F0155S,S,31,56
2024-03-25 00:10,01F0155S,S,32,7
2024-03-25 00:10,01F0155S,S,41,0
2024-03-25 00:10,01F0155S,S,42,4
2024-03-25 00:10,01F0155S,S,5,2
2024-03-25 00:10,01F0182S,S,31,48
2024-03-25 00:10,01F0182S,S,32,6
2024-03-25 00:10,01F0182S,S,41,0
2024-03-25 00:10,01F0182S,S,42,2
2024-03-25 00:10,01F0182S,S,5,2
2024-03-25 00:10,01F0213N,N,31,68
2024-03-25 00:10,01F0213N,N,32,9
2024-03-25 00:10,01F0213N,N,41,1
2024-03-25 00:10,01F0213N,N,42,3
2024-03-25 00:10,01F0213N,N,5,3
2024-03-25 00:10,01F0233N,N,31,131
2024-03-25 00:10,01F0233N,N,32,16
2024-03-25 00:10,01F0233N,N,41,3
2024-03-25 00:10,01F0233N,N,42,4
